Date,Open,High,Low,Close,Volume,Adj Close
2016-05-20,8.60,8.79,8.58,8.77,2979100,8.77
2016-05-19,8.66,8.87,8.65,8.70,4615800,8.70
2016-05-18,9.03,9.03,8.54,8.66,4386200,8.66
2016-05-17,9.01,9.17,8.92,9.06,4500800,9.06
2016-05-16,8.88,9.13,8.81,9.05,4493400,9.05
2016-05-13,9.19,9.24,8.87,8.92,4701800,8.92
2016-05-12,14.90,14.97,14.62,14.93,3162000,9.20625
2016-05-11,15.19,15.22,14.72,14.97,3080900,9.23092
2016-05-10,15.52,15.65,15.00,15.00,4650600,9.24941
2016-05-09,25.68,25.792,24.672,24.816,5366500,15.30223
2016-05-06,26.912,27.024,25.728,25.888,5943800,15.96326
2016-05-05,26.624,26.912,26.00,26.704,4986000,16.46642
2016-05-04,26.688,26.848,26.368,26.656,4455100,16.43683
2016-05-03,26.384,27.008,26.192,26.944,4985100,16.61441
2016-05-02,26.256,26.256,26.256,26.256,000,16.19017
2016-04-29,26.032,26.624,26.032,26.256,2912000,16.19017
2016-04-28,26.752,26.896,25.648,26.096,2750000,16.09151
2016-04-27,26.912,27.168,26.544,26.752,2496500,16.49602
2016-04-26,26.784,26.992,26.432,26.864,2921200,16.56508
2016-04-25,26.96,26.96,26.32,26.64,3134200,16.42696
2016-04-22,26.80,27.296,26.608,27.168,2548900,16.75254
2016-04-21,26.80,27.328,26.64,26.736,2452500,16.48615
2016-04-20,28.24,28.464,26.272,26.80,5215500,16.52562
2016-04-19,28.64,28.80,28.00,28.24,4095500,17.41356
2016-04-18,29.52,29.52,28.40,28.496,6093600,17.57142
2016-04-15,28.512,29.824,28.128,29.76,9547300,18.35084
2016-04-14,28.624,29.60,28.48,28.544,8748200,17.60102
2016-04-13,28.192,28.96,28.128,28.512,11352800,17.58129
2016-04-12,27.456,27.92,26.848,27.856,6261100,17.17678
2016-04-11,27.168,28.992,27.168,27.424,16198500,16.91039
2016-04-08,27.168,27.456,26.896,27.424,2450100,16.91039
2016-04-07,27.92,27.984,27.008,27.216,3781700,16.78214
2016-04-06,27.312,28.256,27.312,27.808,5074200,17.14718
2016-04-05,26.80,27.728,26.656,27.68,4861600,17.06825
2016-04-04,26.96,26.96,26.96,26.96,000,16.62428
2016-04-01,27.664,28.448,26.88,26.96,6433100,16.62428
